gene_id,gene_symbol,half_life_h,cell_line,source,source_category,gencode_gene_id,gencode_transcript_id,gencode_gene_symbol,mapping_method
NM_138370,NM_138370,1.98019801980198,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
"NM_001039664,NM_148966,NM_148965,NM_148970,NM_148967,NM_003790","NM_001039664,NM_148966,NM_148965,NM_148970,NM_148967,NM_003790",1.98019801980198,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_000894,NM_000894,1.98019801980198,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_014079,NM_014079,1.98019801980198,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_001045476,NM_001045476,1.98019801980198,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_024639,NM_024639,1.98019801980198,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_033411,NM_033411,1.98019801980198,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_002083,NM_002083,1.98019801980198,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_001007533,NM_001007533,1.98019801980198,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
"NM_148979,NM_004390","NM_148979,NM_004390",1.98019801980198,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_023940,NM_023940,1.98019801980198,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_005293,NM_005293,2.0,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_152485,NM_152485,2.0,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_006763,NM_006763,2.0,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_006300,NM_006300,2.0,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_203403,NM_203403,2.0,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_032521,NM_032521,2.02020202020202,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_021146,NM_021146,2.02020202020202,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_007147,NM_007147,2.02020202020202,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_182699,NM_182699,2.02020202020202,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_012342,NM_012342,2.04081632653061,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_001024675,NM_001024675,2.04081632653061,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_152268,NM_152268,2.04081632653061,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_024310,NM_024310,2.04081632653061,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_213598,NM_213598,2.04081632653061,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_014383,NM_014383,2.04081632653061,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_025231,NM_025231,2.04081632653061,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_001008404,NM_001008404,2.04081632653061,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
"NM_001004055,NM_012163","NM_001004055,NM_012163",2.04081632653061,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_152465,NM_152465,2.04081632653061,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_017565,NM_017565,2.04081632653061,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_001335,NM_001335,2.04081632653061,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_020801,NM_020801,2.06185567010309,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_005199,NM_005199,2.06185567010309,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_014484,NM_014484,2.06185567010309,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_018444,NM_018444,2.06185567010309,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_138455,NM_138455,2.06185567010309,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_025195,NM_025195,2.06185567010309,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_018566,NM_018566,2.06185567010309,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_001559,NM_001559,2.06185567010309,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_006472,NM_006472,2.06185567010309,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_198480,NM_198480,2.06185567010309,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_020169,NM_020169,2.06185567010309,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
NM_181727,NM_181727,2.06185567010309,HeLa_TetOff,Tani2012_BRICseq,mRNA,,,,unmapped
