gene_id,gene_symbol,half_life_h,cell_line,source
0610009O20Rik,0610009O20Rik,3.95168547762451,mESC,Herzog2017_SLAMseq
1110004F10Rik,1110004F10Rik,5.93615433186413,mESC,Herzog2017_SLAMseq
1110008F13Rik,1110008F13Rik,5.2901837445441,mESC,Herzog2017_SLAMseq
1110012L19Rik,1110012L19Rik,3.07912312888027,mESC,Herzog2017_SLAMseq
1110038F14Rik,1110038F14Rik,3.21273591606144,mESC,Herzog2017_SLAMseq
1500009L16Rik,1500009L16Rik,6.06021836946739,mESC,Herzog2017_SLAMseq
1600002K03Rik,1600002K03Rik,6.12167445760547,mESC,Herzog2017_SLAMseq
1600012H06Rik,1600012H06Rik,2.28219114308781,mESC,Herzog2017_SLAMseq
1700029P11Rik,1700029P11Rik,5.55980361112439,mESC,Herzog2017_SLAMseq
1700061G19Rik,1700061G19Rik,5.98986716711607,mESC,Herzog2017_SLAMseq
1700123O20Rik,1700123O20Rik,1.39259500528873,mESC,Herzog2017_SLAMseq
1810009A15Rik,1810009A15Rik,4.3153228663068,mESC,Herzog2017_SLAMseq
1810013L24Rik,1810013L24Rik,2.37223399517902,mESC,Herzog2017_SLAMseq
1810037I17Rik,1810037I17Rik,4.64447885694606,mESC,Herzog2017_SLAMseq
2210013O21Rik,2210013O21Rik,7.73817906491777,mESC,Herzog2017_SLAMseq
2310022A10Rik,2310022A10Rik,2.07592337296211,mESC,Herzog2017_SLAMseq
2310022A10Rik,2310022A10Rik,2.71623981120266,mESC,Herzog2017_SLAMseq
2310033P09Rik,2310033P09Rik,2.42348796307584,mESC,Herzog2017_SLAMseq
2310035C23Rik,2310035C23Rik,2.02873299976456,mESC,Herzog2017_SLAMseq
2310036O22Rik,2310036O22Rik,4.38855690644551,mESC,Herzog2017_SLAMseq
2310039H08Rik,2310039H08Rik,6.30720030403799,mESC,Herzog2017_SLAMseq
2410002F23Rik,2410002F23Rik,1.72738873173727,mESC,Herzog2017_SLAMseq
2410003L11Rik,2410003L11Rik,6.05896033887814,mESC,Herzog2017_SLAMseq
2410004B18Rik,2410004B18Rik,2.79978784363535,mESC,Herzog2017_SLAMseq
2410006H16Rik,2410006H16Rik,4.21650500932231,mESC,Herzog2017_SLAMseq
2410131K14Rik,2410131K14Rik,1.86172942250473,mESC,Herzog2017_SLAMseq
2510039O18Rik,2510039O18Rik,3.03328720555858,mESC,Herzog2017_SLAMseq
2610021A01Rik,2610021A01Rik,2.19212593791998,mESC,Herzog2017_SLAMseq
2610507B11Rik,2610507B11Rik,5.50239036641397,mESC,Herzog2017_SLAMseq
2810025M15Rik,2810025M15Rik,7.20321104713676,mESC,Herzog2017_SLAMseq
2810403A07Rik,2810403A07Rik,2.11266534276212,mESC,Herzog2017_SLAMseq
2810474O19Rik,2810474O19Rik,2.4906656094843,mESC,Herzog2017_SLAMseq
4833420G17Rik,4833420G17Rik,2.2004232279021,mESC,Herzog2017_SLAMseq
4930427A07Rik,4930427A07Rik,1.99557398096758,mESC,Herzog2017_SLAMseq
4930461G14Rik,4930461G14Rik,3.31578510682057,mESC,Herzog2017_SLAMseq
4932438A13Rik,4932438A13Rik,2.66694291433409,mESC,Herzog2017_SLAMseq
4933434E20Rik,4933434E20Rik,2.16529061753873,mESC,Herzog2017_SLAMseq
5730480H06Rik,5730480H06Rik,2.1837101335948,mESC,Herzog2017_SLAMseq
9430015G10Rik,9430015G10Rik,2.53011493163659,mESC,Herzog2017_SLAMseq
9530068E07Rik,9530068E07Rik,2.6604191336741,mESC,Herzog2017_SLAMseq
A430005L14Rik,A430005L14Rik,1.9388805563217,mESC,Herzog2017_SLAMseq
A830080D01Rik,A830080D01Rik,1.80991502056347,mESC,Herzog2017_SLAMseq
AA465934,AA465934,2.92382693071505,mESC,Herzog2017_SLAMseq
Aacs,Aacs,4.93260572289107,mESC,Herzog2017_SLAMseq
Aagab,Aagab,3.62013444943769,mESC,Herzog2017_SLAMseq
Aak1,Aak1,2.44885673707044,mESC,Herzog2017_SLAMseq
Aar2,Aar2,1.71453634212051,mESC,Herzog2017_SLAMseq
Aard,Aard,4.40037864408818,mESC,Herzog2017_SLAMseq
Aars,Aars,4.34367175698879,mESC,Herzog2017_SLAMseq
Abcc1,Abcc1,2.36152816375395,mESC,Herzog2017_SLAMseq
Abcg2,Abcg2,5.26185368859761,mESC,Herzog2017_SLAMseq
Abhd11,Abhd11,5.36201909468246,mESC,Herzog2017_SLAMseq
Abhd13,Abhd13,2.01527739183981,mESC,Herzog2017_SLAMseq
Abhd16a,Abhd16a,2.36849668210203,mESC,Herzog2017_SLAMseq
Abhd17b,Abhd17b,1.93038745052293,mESC,Herzog2017_SLAMseq
Abhd2,Abhd2,3.86724736133514,mESC,Herzog2017_SLAMseq
Abhd4,Abhd4,5.21858349982928,mESC,Herzog2017_SLAMseq
Abhd6,Abhd6,4.49609719624584,mESC,Herzog2017_SLAMseq
Abl1,Abl1,3.23634764491256,mESC,Herzog2017_SLAMseq
Abl2,Abl2,1.54041486726465,mESC,Herzog2017_SLAMseq
Acaa1a,Acaa1a,5.86924123204236,mESC,Herzog2017_SLAMseq
Acaca,Acaca,4.97909635198396,mESC,Herzog2017_SLAMseq
Acadsb,Acadsb,3.9091843900283,mESC,Herzog2017_SLAMseq
Acbd3,Acbd3,1.99035251960723,mESC,Herzog2017_SLAMseq
Acbd6,Acbd6,5.84005081744403,mESC,Herzog2017_SLAMseq
Acer2,Acer2,1.52245847743969,mESC,Herzog2017_SLAMseq
Aco1,Aco1,6.2609689982912,mESC,Herzog2017_SLAMseq
Aco2,Aco2,7.6407098502674,mESC,Herzog2017_SLAMseq
Acot7,Acot7,8.89234971092791,mESC,Herzog2017_SLAMseq
Acot9,Acot9,5.14012717419131,mESC,Herzog2017_SLAMseq
Acp6,Acp6,4.61740398719745,mESC,Herzog2017_SLAMseq
Acsl3,Acsl3,3.54980038260878,mESC,Herzog2017_SLAMseq
Actl6a,Actl6a,5.00513908120469,mESC,Herzog2017_SLAMseq
Actr10,Actr10,4.72094552196517,mESC,Herzog2017_SLAMseq
Actr3b,Actr3b,3.98841851731942,mESC,Herzog2017_SLAMseq
Actr5,Actr5,1.92718477401931,mESC,Herzog2017_SLAMseq
Actr8,Actr8,2.35275098412455,mESC,Herzog2017_SLAMseq
Acvr1b,Acvr1b,3.17426598532774,mESC,Herzog2017_SLAMseq
Adam10,Adam10,2.52589383013005,mESC,Herzog2017_SLAMseq
Adar,Adar,3.768285223189,mESC,Herzog2017_SLAMseq
Add1,Add1,5.34426516049892,mESC,Herzog2017_SLAMseq
Adgrb1,Adgrb1,3.63170106360383,mESC,Herzog2017_SLAMseq
Adgrl1,Adgrl1,4.10627226566467,mESC,Herzog2017_SLAMseq
Adh5,Adh5,9.07979650099203,mESC,Herzog2017_SLAMseq
Adipor1,Adipor1,3.6293284789869,mESC,Herzog2017_SLAMseq
Adk,Adk,3.50820779217492,mESC,Herzog2017_SLAMseq
Adpgk,Adpgk,3.93777700672595,mESC,Herzog2017_SLAMseq
Adrm1,Adrm1,2.96929823271728,mESC,Herzog2017_SLAMseq
Adsl,Adsl,4.12081877226599,mESC,Herzog2017_SLAMseq
Aebp2,Aebp2,1.21284610166527,mESC,Herzog2017_SLAMseq
Aen,Aen,2.72676929810137,mESC,Herzog2017_SLAMseq
Aes,Aes,7.33418136490776,mESC,Herzog2017_SLAMseq
Afdn,Afdn,2.64040403789059,mESC,Herzog2017_SLAMseq
Aff4,Aff4,3.77293635213938,mESC,Herzog2017_SLAMseq
Afg3l1,Afg3l1,5.68151951942523,mESC,Herzog2017_SLAMseq
Agap1,Agap1,2.20710221065094,mESC,Herzog2017_SLAMseq
Agap3,Agap3,4.51906013024634,mESC,Herzog2017_SLAMseq
Agap3,Agap3,3.96145594240354,mESC,Herzog2017_SLAMseq
Agfg1,Agfg1,2.97596518048805,mESC,Herzog2017_SLAMseq
Agfg1,Agfg1,2.26278418643552,mESC,Herzog2017_SLAMseq
Agk,Agk,3.03309470722433,mESC,Herzog2017_SLAMseq
Agpat1,Agpat1,4.33438677108528,mESC,Herzog2017_SLAMseq
Agpat5,Agpat5,5.56900326457157,mESC,Herzog2017_SLAMseq
Agpat5,Agpat5,2.53436249253551,mESC,Herzog2017_SLAMseq
Agps,Agps,2.12456956496459,mESC,Herzog2017_SLAMseq
Ahnak,Ahnak,4.14910012116182,mESC,Herzog2017_SLAMseq
Ahsa1,Ahsa1,4.67506884150525,mESC,Herzog2017_SLAMseq
AI597479,AI597479,1.90954635373175,mESC,Herzog2017_SLAMseq
AI837181,AI837181,1.0074919118394,mESC,Herzog2017_SLAMseq
Aida,Aida,5.35128098159087,mESC,Herzog2017_SLAMseq
Aim1l,Aim1l,4.92286306914074,mESC,Herzog2017_SLAMseq
Ak1,Ak1,9.70356469585723,mESC,Herzog2017_SLAMseq
Ak2,Ak2,5.5275879930667,mESC,Herzog2017_SLAMseq
Ak6,Ak6,3.52527213048995,mESC,Herzog2017_SLAMseq
Akap12,Akap12,3.80536410646433,mESC,Herzog2017_SLAMseq
Akap2,Akap2,3.1896638478312,mESC,Herzog2017_SLAMseq
Akirin2,Akirin2,2.38825784410291,mESC,Herzog2017_SLAMseq
Akr7a5,Akr7a5,7.26188869210416,mESC,Herzog2017_SLAMseq
Akt2,Akt2,3.22852859064605,mESC,Herzog2017_SLAMseq
Aldh4a1,Aldh4a1,5.00295659328651,mESC,Herzog2017_SLAMseq
Alg1,Alg1,3.05633933841719,mESC,Herzog2017_SLAMseq
Alg10b,Alg10b,2.96306568681343,mESC,Herzog2017_SLAMseq
Alg11,Alg11,3.01423880892923,mESC,Herzog2017_SLAMseq
Alg5,Alg5,3.6935371463917,mESC,Herzog2017_SLAMseq
Alg6,Alg6,3.03666933530919,mESC,Herzog2017_SLAMseq
Alg8,Alg8,2.81715520842793,mESC,Herzog2017_SLAMseq
Alkbh4,Alkbh4,1.70890910774693,mESC,Herzog2017_SLAMseq
Alkbh5,Alkbh5,3.47470393536408,mESC,Herzog2017_SLAMseq
Alkbh5,Alkbh5,3.65852026949501,mESC,Herzog2017_SLAMseq
Ammecr1l,Ammecr1l,1.60789572025808,mESC,Herzog2017_SLAMseq
Amotl2,Amotl2,1.37593128539749,mESC,Herzog2017_SLAMseq
Amph,Amph,2.25937444156544,mESC,Herzog2017_SLAMseq
Amt,Amt,5.06878351688383,mESC,Herzog2017_SLAMseq
Anapc11,Anapc11,6.78785636325516,mESC,Herzog2017_SLAMseq
Anapc15,Anapc15,7.21386688731821,mESC,Herzog2017_SLAMseq
Anapc2,Anapc2,4.64146489033136,mESC,Herzog2017_SLAMseq
Anapc4,Anapc4,3.94619649701058,mESC,Herzog2017_SLAMseq
Anapc7,Anapc7,2.18344369895031,mESC,Herzog2017_SLAMseq
Ank,Ank,3.61702520782717,mESC,Herzog2017_SLAMseq
Ankle2,Ankle2,3.09751375341428,mESC,Herzog2017_SLAMseq
Ankmy2,Ankmy2,3.18885277274671,mESC,Herzog2017_SLAMseq
Ankra2,Ankra2,5.35450503941696,mESC,Herzog2017_SLAMseq
Ankrd13a,Ankrd13a,7.18386829316862,mESC,Herzog2017_SLAMseq
Ankrd13c,Ankrd13c,3.80876779582704,mESC,Herzog2017_SLAMseq
Ankrd27,Ankrd27,3.84070842510279,mESC,Herzog2017_SLAMseq
Ankrd31,Ankrd31,2.75016584683847,mESC,Herzog2017_SLAMseq
Ankrd40,Ankrd40,4.62361033114141,mESC,Herzog2017_SLAMseq
Ano6,Ano6,3.49492718779152,mESC,Herzog2017_SLAMseq
Anp32a,Anp32a,4.98155531415679,mESC,Herzog2017_SLAMseq
Anp32a,Anp32a,3.49353251349584,mESC,Herzog2017_SLAMseq
Anp32b,Anp32b,4.99968606190834,mESC,Herzog2017_SLAMseq
Anp32e,Anp32e,7.50719668668312,mESC,Herzog2017_SLAMseq
Anp32e,Anp32e,4.3535406097894,mESC,Herzog2017_SLAMseq
Ap1b1,Ap1b1,4.47662238341402,mESC,Herzog2017_SLAMseq
Ap1g1,Ap1g1,3.22414448284239,mESC,Herzog2017_SLAMseq
Ap1g1,Ap1g1,3.00893840898029,mESC,Herzog2017_SLAMseq
