gene_id,gene_symbol,half_life_h,cell_line,source,gencode_gene_id,gencode_transcript_id,gencode_gene_symbol,mapping_method
0610009O20Rik,0610009O20Rik,3.95168547762451,mESC,Herzog2017_SLAMseq,,,,unmapped
1110004F10Rik,1110004F10Rik,5.93615433186413,mESC,Herzog2017_SLAMseq,,,,unmapped
1110008F13Rik,1110008F13Rik,5.2901837445441,mESC,Herzog2017_SLAMseq,,,,unmapped
1110012L19Rik,1110012L19Rik,3.07912312888027,mESC,Herzog2017_SLAMseq,,,,unmapped
1110038F14Rik,1110038F14Rik,3.21273591606144,mESC,Herzog2017_SLAMseq,,,,unmapped
1500009L16Rik,1500009L16Rik,6.06021836946739,mESC,Herzog2017_SLAMseq,,,,unmapped
1600002K03Rik,1600002K03Rik,6.12167445760547,mESC,Herzog2017_SLAMseq,,,,unmapped
1600012H06Rik,1600012H06Rik,2.28219114308781,mESC,Herzog2017_SLAMseq,,,,unmapped
1700029P11Rik,1700029P11Rik,5.55980361112439,mESC,Herzog2017_SLAMseq,,,,unmapped
1700061G19Rik,1700061G19Rik,5.98986716711607,mESC,Herzog2017_SLAMseq,,,,unmapped
1700123O20Rik,1700123O20Rik,1.39259500528873,mESC,Herzog2017_SLAMseq,,,,unmapped
1810009A15Rik,1810009A15Rik,4.3153228663068,mESC,Herzog2017_SLAMseq,,,,unmapped
1810013L24Rik,1810013L24Rik,2.37223399517902,mESC,Herzog2017_SLAMseq,,,,unmapped
1810037I17Rik,1810037I17Rik,4.64447885694606,mESC,Herzog2017_SLAMseq,,,,unmapped
2210013O21Rik,2210013O21Rik,7.73817906491777,mESC,Herzog2017_SLAMseq,,,,unmapped
2310022A10Rik,2310022A10Rik,2.07592337296211,mESC,Herzog2017_SLAMseq,,,,unmapped
2310022A10Rik,2310022A10Rik,2.71623981120266,mESC,Herzog2017_SLAMseq,,,,unmapped
2310033P09Rik,2310033P09Rik,2.42348796307584,mESC,Herzog2017_SLAMseq,,,,unmapped
2310035C23Rik,2310035C23Rik,2.02873299976456,mESC,Herzog2017_SLAMseq,,,,unmapped
2310036O22Rik,2310036O22Rik,4.38855690644551,mESC,Herzog2017_SLAMseq,,,,unmapped
