gene_id,gene_symbol,half_life_h,cell_line,source
AAGAB,AAGAB,2.35153539190864,K562,Schofield2018_TimeLapseseq
AAMP,AAMP,6.72791085825694,K562,Schofield2018_TimeLapseseq
AAR2,AAR2,0.596145293312065,K562,Schofield2018_TimeLapseseq
AARS,AARS,1.90045782485892,K562,Schofield2018_TimeLapseseq
AARS2,AARS2,1.58305158986123,K562,Schofield2018_TimeLapseseq
AASDHPPT,AASDHPPT,3.1278505988133,K562,Schofield2018_TimeLapseseq
AATF,AATF,3.2297866354083,K562,Schofield2018_TimeLapseseq
ABCA3,ABCA3,2.27025454944624,K562,Schofield2018_TimeLapseseq
ABCA7,ABCA7,1.85002277458744,K562,Schofield2018_TimeLapseseq
ABCB10,ABCB10,4.22560305964015,K562,Schofield2018_TimeLapseseq
ABCB8,ABCB8,2.17829741601106,K562,Schofield2018_TimeLapseseq
ABCC1,ABCC1,1.38815562817613,K562,Schofield2018_TimeLapseseq
ABCC4,ABCC4,4.75954647617531,K562,Schofield2018_TimeLapseseq
ABCC5,ABCC5,1.14885403813486,K562,Schofield2018_TimeLapseseq
ABCE1,ABCE1,4.70649388707527,K562,Schofield2018_TimeLapseseq
ABCF1,ABCF1,3.14622211866277,K562,Schofield2018_TimeLapseseq
ABCF2,ABCF2,3.20585596362421,K562,Schofield2018_TimeLapseseq
ABCF3,ABCF3,1.64429441083016,K562,Schofield2018_TimeLapseseq
ABHD2,ABHD2,1.87890368362373,K562,Schofield2018_TimeLapseseq
ABHD5,ABHD5,0.659587346839761,K562,Schofield2018_TimeLapseseq
ABI1,ABI1,1.67356776429118,K562,Schofield2018_TimeLapseseq
ABL1,ABL1,0.818221557737682,K562,Schofield2018_TimeLapseseq
ABL2,ABL2,0.383069480075374,K562,Schofield2018_TimeLapseseq
ABT1,ABT1,1.07710473568528,K562,Schofield2018_TimeLapseseq
AC002539.1,AC002539.1,0.97027307536422,K562,Schofield2018_TimeLapseseq
AC004980.7,AC004980.7,0.769560680253477,K562,Schofield2018_TimeLapseseq
AC009784.3,AC009784.3,1.97052109473197,K562,Schofield2018_TimeLapseseq
AC016723.4,AC016723.4,1.63731061443167,K562,Schofield2018_TimeLapseseq
AC024560.3,AC024560.3,0.994096737255481,K562,Schofield2018_TimeLapseseq
AC069277.2,AC069277.2,1.24649689449895,K562,Schofield2018_TimeLapseseq
AC079466.1,AC079466.1,2.14863131317381,K562,Schofield2018_TimeLapseseq
AC084082.3,AC084082.3,0.303404910410643,K562,Schofield2018_TimeLapseseq
AC093323.3,AC093323.3,1.16301648952817,K562,Schofield2018_TimeLapseseq
AC093838.4,AC093838.4,0.527588187162347,K562,Schofield2018_TimeLapseseq
AC105402.4,AC105402.4,8.25426007555789,K562,Schofield2018_TimeLapseseq
ACACA,ACACA,2.08025851799795,K562,Schofield2018_TimeLapseseq
ACAD9,ACAD9,2.02077132835356,K562,Schofield2018_TimeLapseseq
ACADM,ACADM,3.8913554377872,K562,Schofield2018_TimeLapseseq
ACAP2,ACAP2,1.68502676149091,K562,Schofield2018_TimeLapseseq
ACAT2,ACAT2,5.25264916797126,K562,Schofield2018_TimeLapseseq
ACBD3,ACBD3,0.647411905879892,K562,Schofield2018_TimeLapseseq
ACBD6,ACBD6,2.73683474809927,K562,Schofield2018_TimeLapseseq
ACIN1,ACIN1,1.92134784019689,K562,Schofield2018_TimeLapseseq
ACLY,ACLY,5.84046317400003,K562,Schofield2018_TimeLapseseq
ACO2,ACO2,4.07083072021225,K562,Schofield2018_TimeLapseseq
ACP1,ACP1,4.60186345832482,K562,Schofield2018_TimeLapseseq
ACSF3,ACSF3,1.06668177422892,K562,Schofield2018_TimeLapseseq
ACSL3,ACSL3,2.17537686827754,K562,Schofield2018_TimeLapseseq
ACTB,ACTB,5.14749102444844,K562,Schofield2018_TimeLapseseq
ACTG1,ACTG1,4.3186307227411,K562,Schofield2018_TimeLapseseq
ACTL6A,ACTL6A,5.27362673114938,K562,Schofield2018_TimeLapseseq
ACTN1,ACTN1,4.04921472690524,K562,Schofield2018_TimeLapseseq
ACTN4,ACTN4,4.14014781364713,K562,Schofield2018_TimeLapseseq
ACTR1A,ACTR1A,3.01274153690163,K562,Schofield2018_TimeLapseseq
ACTR2,ACTR2,10.2889786409111,K562,Schofield2018_TimeLapseseq
ACTR3,ACTR3,7.52817169495195,K562,Schofield2018_TimeLapseseq
ACVR1,ACVR1,0.402510967478548,K562,Schofield2018_TimeLapseseq
ACVR2B,ACVR2B,0.890280648898288,K562,Schofield2018_TimeLapseseq
ADAM10,ADAM10,2.41828754737361,K562,Schofield2018_TimeLapseseq
ADAM17,ADAM17,1.77902710323306,K562,Schofield2018_TimeLapseseq
ADAMTS14,ADAMTS14,0.756301440602032,K562,Schofield2018_TimeLapseseq
ADAMTS3,ADAMTS3,0.706203010852977,K562,Schofield2018_TimeLapseseq
ADAMTSL4,ADAMTSL4,1.51492627551592,K562,Schofield2018_TimeLapseseq
ADAR,ADAR,2.79829512393797,K562,Schofield2018_TimeLapseseq
ADARB1,ADARB1,1.65908483235044,K562,Schofield2018_TimeLapseseq
ADAT2,ADAT2,0.702463862561853,K562,Schofield2018_TimeLapseseq
ADCY3,ADCY3,1.37204406668068,K562,Schofield2018_TimeLapseseq
ADCY7,ADCY7,1.10497249498889,K562,Schofield2018_TimeLapseseq
ADD1,ADD1,4.76839731768431,K562,Schofield2018_TimeLapseseq
ADD2,ADD2,5.28125957202113,K562,Schofield2018_TimeLapseseq
ADD3,ADD3,2.58303733785797,K562,Schofield2018_TimeLapseseq
ADGRD1,ADGRD1,0.550319714960834,K562,Schofield2018_TimeLapseseq
ADGRE5,ADGRE5,0.892823748152852,K562,Schofield2018_TimeLapseseq
ADGRL1,ADGRL1,1.82450460501978,K562,Schofield2018_TimeLapseseq
ADGRV1,ADGRV1,1.2901661015421,K562,Schofield2018_TimeLapseseq
ADH5,ADH5,7.07375954936898,K562,Schofield2018_TimeLapseseq
ADIPOR1,ADIPOR1,3.07473731173815,K562,Schofield2018_TimeLapseseq
ADIPOR2,ADIPOR2,0.657048311557868,K562,Schofield2018_TimeLapseseq
ADK,ADK,2.29085789932905,K562,Schofield2018_TimeLapseseq
ADNP,ADNP,0.35533181183421,K562,Schofield2018_TimeLapseseq
ADNP2,ADNP2,0.438236072876139,K562,Schofield2018_TimeLapseseq
ADO,ADO,0.339547540127604,K562,Schofield2018_TimeLapseseq
ADPGK,ADPGK,0.90379303679123,K562,Schofield2018_TimeLapseseq
ADRM1,ADRM1,1.71647714903175,K562,Schofield2018_TimeLapseseq
ADSS,ADSS,1.06300916940442,K562,Schofield2018_TimeLapseseq
AEBP2,AEBP2,0.586858604007099,K562,Schofield2018_TimeLapseseq
AEN,AEN,0.398905685229023,K562,Schofield2018_TimeLapseseq
AES,AES,5.94877377423073,K562,Schofield2018_TimeLapseseq
AFAP1-AS1,AFAP1-AS1,0.97528334928801,K562,Schofield2018_TimeLapseseq
AFDN,AFDN,2.70663488105012,K562,Schofield2018_TimeLapseseq
AFF1,AFF1,0.799553009076274,K562,Schofield2018_TimeLapseseq
AFF4,AFF4,0.504637900008295,K562,Schofield2018_TimeLapseseq
AFG3L1P,AFG3L1P,0.693694354709814,K562,Schofield2018_TimeLapseseq
AFG3L2,AFG3L2,4.28402342054681,K562,Schofield2018_TimeLapseseq
AFTPH,AFTPH,0.623322089371389,K562,Schofield2018_TimeLapseseq
AGAP1,AGAP1,1.40431590888491,K562,Schofield2018_TimeLapseseq
AGAP3,AGAP3,1.27101853683684,K562,Schofield2018_TimeLapseseq
AGFG1,AGFG1,1.12242835898411,K562,Schofield2018_TimeLapseseq
AGGF1,AGGF1,1.52277429644129,K562,Schofield2018_TimeLapseseq
AGK,AGK,2.65245063023791,K562,Schofield2018_TimeLapseseq
AGL,AGL,5.81766094730067,K562,Schofield2018_TimeLapseseq
AGO1,AGO1,2.33864548457655,K562,Schofield2018_TimeLapseseq
AGO2,AGO2,1.08142285225083,K562,Schofield2018_TimeLapseseq
AGO3,AGO3,1.4250194405483,K562,Schofield2018_TimeLapseseq
AGPAT1,AGPAT1,5.82030036699286,K562,Schofield2018_TimeLapseseq
AGPAT3,AGPAT3,2.39902408549833,K562,Schofield2018_TimeLapseseq
AGPAT4,AGPAT4,0.6060330900242,K562,Schofield2018_TimeLapseseq
AGPAT5,AGPAT5,1.67324244158046,K562,Schofield2018_TimeLapseseq
AGPS,AGPS,4.33996918618599,K562,Schofield2018_TimeLapseseq
AGRN,AGRN,2.93114866252865,K562,Schofield2018_TimeLapseseq
AHCTF1,AHCTF1,0.668815476665597,K562,Schofield2018_TimeLapseseq
AHCY,AHCY,3.91781259469372,K562,Schofield2018_TimeLapseseq
AHCYL1,AHCYL1,3.43563765745356,K562,Schofield2018_TimeLapseseq
AHDC1,AHDC1,0.37327557123827,K562,Schofield2018_TimeLapseseq
AHI1,AHI1,2.0791332574052,K562,Schofield2018_TimeLapseseq
AHNAK,AHNAK,2.1843719131696,K562,Schofield2018_TimeLapseseq
AHSA1,AHSA1,3.31714649291709,K562,Schofield2018_TimeLapseseq
AIFM1,AIFM1,9.12638871946361,K562,Schofield2018_TimeLapseseq
AIG1,AIG1,1.71159055434634,K562,Schofield2018_TimeLapseseq
AIMP1,AIMP1,2.07347971391006,K562,Schofield2018_TimeLapseseq
AIMP2,AIMP2,3.21397990504985,K562,Schofield2018_TimeLapseseq
AK2,AK2,5.38247029259379,K562,Schofield2018_TimeLapseseq
AK4,AK4,1.92540554519079,K562,Schofield2018_TimeLapseseq
AKAP1,AKAP1,0.844507491321521,K562,Schofield2018_TimeLapseseq
AKAP10,AKAP10,0.382387382856751,K562,Schofield2018_TimeLapseseq
AKAP11,AKAP11,0.667096311219629,K562,Schofield2018_TimeLapseseq
AKAP17A,AKAP17A,0.575366197374051,K562,Schofield2018_TimeLapseseq
AKAP8,AKAP8,0.708673156412645,K562,Schofield2018_TimeLapseseq
AKAP8L,AKAP8L,1.32931679234212,K562,Schofield2018_TimeLapseseq
AKAP9,AKAP9,0.946266001250375,K562,Schofield2018_TimeLapseseq
AKIRIN1,AKIRIN1,0.755026967370788,K562,Schofield2018_TimeLapseseq
