gene_id,gene_symbol,half_life_h,cell_line,source,gencode_gene_id,gencode_transcript_id,gencode_gene_symbol,mapping_method
AAGAB,AAGAB,2.35153539190864,K562,Schofield2018_TimeLapseseq,,,,unmapped
AAMP,AAMP,6.72791085825694,K562,Schofield2018_TimeLapseseq,,,,unmapped
AAR2,AAR2,0.596145293312065,K562,Schofield2018_TimeLapseseq,,,,unmapped
AARS,AARS,1.90045782485892,K562,Schofield2018_TimeLapseseq,,,,unmapped
AARS2,AARS2,1.58305158986123,K562,Schofield2018_TimeLapseseq,,,,unmapped
AASDHPPT,AASDHPPT,3.1278505988133,K562,Schofield2018_TimeLapseseq,,,,unmapped
AATF,AATF,3.2297866354083,K562,Schofield2018_TimeLapseseq,,,,unmapped
ABCA3,ABCA3,2.27025454944624,K562,Schofield2018_TimeLapseseq,,,,unmapped
ABCA7,ABCA7,1.85002277458744,K562,Schofield2018_TimeLapseseq,,,,unmapped
ABCB10,ABCB10,4.22560305964015,K562,Schofield2018_TimeLapseseq,,,,unmapped
ABCB8,ABCB8,2.17829741601106,K562,Schofield2018_TimeLapseseq,,,,unmapped
ABCC1,ABCC1,1.38815562817613,K562,Schofield2018_TimeLapseseq,,,,unmapped
ABCC4,ABCC4,4.75954647617531,K562,Schofield2018_TimeLapseseq,,,,unmapped
ABCC5,ABCC5,1.14885403813486,K562,Schofield2018_TimeLapseseq,,,,unmapped
ABCE1,ABCE1,4.70649388707527,K562,Schofield2018_TimeLapseseq,,,,unmapped
ABCF1,ABCF1,3.14622211866277,K562,Schofield2018_TimeLapseseq,,,,unmapped
ABCF2,ABCF2,3.20585596362421,K562,Schofield2018_TimeLapseseq,,,,unmapped
ABCF3,ABCF3,1.64429441083016,K562,Schofield2018_TimeLapseseq,,,,unmapped
ABHD2,ABHD2,1.87890368362373,K562,Schofield2018_TimeLapseseq,,,,unmapped
ABHD5,ABHD5,0.659587346839761,K562,Schofield2018_TimeLapseseq,,,,unmapped
ABI1,ABI1,1.67356776429118,K562,Schofield2018_TimeLapseseq,,,,unmapped
ABL1,ABL1,0.818221557737682,K562,Schofield2018_TimeLapseseq,,,,unmapped
ABL2,ABL2,0.383069480075374,K562,Schofield2018_TimeLapseseq,,,,unmapped
ABT1,ABT1,1.07710473568528,K562,Schofield2018_TimeLapseseq,,,,unmapped
AC002539.1,AC002539.1,0.97027307536422,K562,Schofield2018_TimeLapseseq,,,,unmapped
AC004980.7,AC004980.7,0.769560680253477,K562,Schofield2018_TimeLapseseq,,,,unmapped
AC009784.3,AC009784.3,1.97052109473197,K562,Schofield2018_TimeLapseseq,,,,unmapped
AC016723.4,AC016723.4,1.63731061443167,K562,Schofield2018_TimeLapseseq,,,,unmapped
AC024560.3,AC024560.3,0.994096737255481,K562,Schofield2018_TimeLapseseq,,,,unmapped
AC069277.2,AC069277.2,1.24649689449895,K562,Schofield2018_TimeLapseseq,,,,unmapped
AC079466.1,AC079466.1,2.14863131317381,K562,Schofield2018_TimeLapseseq,,,,unmapped
AC084082.3,AC084082.3,0.303404910410643,K562,Schofield2018_TimeLapseseq,,,,unmapped
AC093323.3,AC093323.3,1.16301648952817,K562,Schofield2018_TimeLapseseq,,,,unmapped
AC093838.4,AC093838.4,0.527588187162347,K562,Schofield2018_TimeLapseseq,,,,unmapped
AC105402.4,AC105402.4,8.25426007555789,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACACA,ACACA,2.08025851799795,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACAD9,ACAD9,2.02077132835356,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACADM,ACADM,3.8913554377872,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACAP2,ACAP2,1.68502676149091,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACAT2,ACAT2,5.25264916797126,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACBD3,ACBD3,0.647411905879892,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACBD6,ACBD6,2.73683474809927,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACIN1,ACIN1,1.92134784019689,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACLY,ACLY,5.84046317400003,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACO2,ACO2,4.07083072021225,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACP1,ACP1,4.60186345832482,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACSF3,ACSF3,1.06668177422892,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACSL3,ACSL3,2.17537686827754,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACTB,ACTB,5.14749102444844,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACTG1,ACTG1,4.3186307227411,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACTL6A,ACTL6A,5.27362673114938,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACTN1,ACTN1,4.04921472690524,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACTN4,ACTN4,4.14014781364713,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACTR1A,ACTR1A,3.01274153690163,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACTR2,ACTR2,10.2889786409111,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACTR3,ACTR3,7.52817169495195,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACVR1,ACVR1,0.402510967478548,K562,Schofield2018_TimeLapseseq,,,,unmapped
ACVR2B,ACVR2B,0.890280648898288,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADAM10,ADAM10,2.41828754737361,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADAM17,ADAM17,1.77902710323306,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADAMTS14,ADAMTS14,0.756301440602032,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADAMTS3,ADAMTS3,0.706203010852977,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADAMTSL4,ADAMTSL4,1.51492627551592,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADAR,ADAR,2.79829512393797,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADARB1,ADARB1,1.65908483235044,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADAT2,ADAT2,0.702463862561853,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADCY3,ADCY3,1.37204406668068,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADCY7,ADCY7,1.10497249498889,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADD1,ADD1,4.76839731768431,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADD2,ADD2,5.28125957202113,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADD3,ADD3,2.58303733785797,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADGRD1,ADGRD1,0.550319714960834,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADGRE5,ADGRE5,0.892823748152852,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADGRL1,ADGRL1,1.82450460501978,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADGRV1,ADGRV1,1.2901661015421,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADH5,ADH5,7.07375954936898,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADIPOR1,ADIPOR1,3.07473731173815,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADIPOR2,ADIPOR2,0.657048311557868,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADK,ADK,2.29085789932905,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADNP,ADNP,0.35533181183421,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADNP2,ADNP2,0.438236072876139,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADO,ADO,0.339547540127604,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADPGK,ADPGK,0.90379303679123,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADRM1,ADRM1,1.71647714903175,K562,Schofield2018_TimeLapseseq,,,,unmapped
ADSS,ADSS,1.06300916940442,K562,Schofield2018_TimeLapseseq,,,,unmapped
AEBP2,AEBP2,0.586858604007099,K562,Schofield2018_TimeLapseseq,,,,unmapped
AEN,AEN,0.398905685229023,K562,Schofield2018_TimeLapseseq,,,,unmapped
AES,AES,5.94877377423073,K562,Schofield2018_TimeLapseseq,,,,unmapped
AFAP1-AS1,AFAP1-AS1,0.97528334928801,K562,Schofield2018_TimeLapseseq,ENSG00000272620.2,ENST00000608442.2,AFAP1-AS1,symbol_exact
AFDN,AFDN,2.70663488105012,K562,Schofield2018_TimeLapseseq,,,,unmapped
AFF1,AFF1,0.799553009076274,K562,Schofield2018_TimeLapseseq,,,,unmapped
AFF4,AFF4,0.504637900008295,K562,Schofield2018_TimeLapseseq,,,,unmapped
AFG3L1P,AFG3L1P,0.693694354709814,K562,Schofield2018_TimeLapseseq,,,,unmapped
AFG3L2,AFG3L2,4.28402342054681,K562,Schofield2018_TimeLapseseq,,,,unmapped
AFTPH,AFTPH,0.623322089371389,K562,Schofield2018_TimeLapseseq,,,,unmapped
